Price,Method,Type,Date,Regionname
,2,1,58,2
1480000.0,4,1,60,2
1035000.0,4,1,63,2
,0,2,63,2
1465000.0,5,1,64,2
850000.0,3,1,64,2
1600000.0,0,1,65,2
,2,1,69,2
,4,1,69,2
,4,1,69,2
941000.0,4,1,70,2
1876000.0,4,1,70,2
,3,2,72,2
,1,1,72,2
1636000.0,4,1,75,2
1000000.0,4,1,75,2
745000.0,4,0,75,2
300000.0,4,2,75,2
1097000.0,4,1,75,2
542000.0,4,2,75,2
,5,1,4,2
760000.0,5,2,4,2
481000.0,5,2,4,2
700000.0,0,2,10,2
1350000.0,0,1,10,2
750000.0,4,2,10,2
1985000.0,4,1,10,2
500000.0,4,2,10,2
1172500.0,4,1,12,2
441000.0,5,2,13,2
1310000.0,4,1,16,2
,3,2,17,2
1200000.0,4,1,18,2
847000.0,4,0,18,2
,3,1,18,2
1176500.0,4,1,18,2
955000.0,4,1,23,2
890000.0,4,1,23,2
1330000.0,3,1,24,2
,5,1,24,2
900000.0,4,0,24,2
1090000.0,4,2,24,2
500000.0,4,2,25,2
1100000.0,3,1,25,2
1315000.0,4,1,28,2
480000.0,4,2,28,2
423500.0,4,2,33,2
,3,1,33,2
426000.0,5,2,35,2
1447500.0,3,1,35,2
457000.0,4,2,35,2
1135000.0,4,1,35,2
700000.0,4,1,36,2
1542000.0,4,1,40,2
962000.0,5,0,41,2
1290000.0,4,1,41,2
1290000.0,4,1,41,2
470000.0,4,2,43,2
1180000.0,4,1,48,2
1195000.0,5,1,48,2
,3,2,50,2
1012500.0,4,1,50,2
970000.0,5,2,50,2
1030000.0,4,1,61,2
,1,1,61,2
927000.0,4,1,61,2
840000.0,3,0,58,6
730000.0,0,1,60,6
770000.0,5,1,64,6
,4,1,64,6
603000.0,4,1,64,6
700000.0,4,0,64,6
600000.0,4,1,64,6
500000.0,0,2,64,6
420000.0,0,0,65,6
500000.0,0,0,65,6
1035000.0,4,1,69,6
960000.0,4,1,69,6
960000.0,4,1,69,6
720000.0,4,1,69,6
785000.0,4,1,69,6
725000.0,5,1,70,6
450000.0,4,0,70,6
515000.0,4,2,72,6
680000.0,0,1,75,6
530000.0,4,2,3,6
895000.0,3,1,3,6
600000.0,0,2,3,6
805000.0,4,1,4,6
760000.0,3,0,4,6
752000.0,4,2,5,6
580000.0,0,2,10,6
725000.0,3,1,10,6
758000.0,4,1,12,6
440000.0,4,2,12,6
970000.0,4,1,13,6
755000.0,3,1,13,6
985000.0,4,1,16,6
700000.0,3,0,16,6
509500.0,5,2,16,6
830000.0,4,1,17,6
462500.0,4,2,18,6
670000.0,5,1,18,6
675000.0,4,1,18,6
1042000.0,4,1,18,6
910000.0,4,1,23,6
773000.0,4,1,23,6
715000.0,4,1,23,6
810000.0,3,1,24,6
715000.0,4,1,24,6
790000.0,4,1,24,6
460000.0,0,0,25,6
540000.0,5,0,25,6
825000.0,5,0,28,6
685000.0,4,1,33,6
445000.0,4,2,33,6
805000.0,4,1,35,6
510000.0,4,2,35,6
612000.0,4,1,35,6
662000.0,4,1,36,6
978000.0,4,1,40,6
,0,2,41,6
720000.0,3,1,41,6
474000.0,3,2,43,6
490000.0,5,0,43,6
405000.0,4,1,47,6
715000.0,4,0,48,6
671500.0,4,2,48,6
765000.0,4,1,48,6
900000.0,4,1,48,6
820000.0,4,2,51,6
650000.0,3,2,61,6
552000.0,5,0,61,6
1275000.0,4,1,58,5
1455000.0,4,1,58,5
2850000.0,3,1,64,5
1850000.0,4,1,64,5
,5,1,64,5
1436000.0,4,1,64,5
,2,1,69,5
1110000.0,4,1,69,5
1550000.0,4,1,70,5
2300000.0,4,1,70,5
,4,1,70,5
1550000.0,0,0,72,5
1800000.0,0,1,72,5
2485000.0,4,1,75,5
2120000.0,4,1,3,5
1800000.0,0,1,3,5
1800000.0,4,1,3,5
,2,1,3,5
1810000.0,3,1,4,5
2615000.0,4,1,4,5
2100000.0,4,1,4,5
1300000.0,4,1,4,5
1370000.0,4,1,8,5
1000000.0,4,1,10,5
,5,1,12,5
2575000.0,4,1,16,5
1322500.0,4,1,16,5
,4,1,16,5
1562500.0,4,1,16,5
2000000.0,0,1,17,5
,4,1,23,5
,4,1,24,5
1900000.0,4,1,24,5
3010000.0,4,1,24,5
,5,1,25,5
2800000.0,0,1,25,5
,2,1,28,5
647000.0,4,2,33,5
,5,1,33,5
2100000.0,5,1,36,5
,4,1,40,5
,3,1,40,5
,2,1,40,5
2000000.0,3,1,40,5
442500.0,4,2,41,5
4735000.0,4,1,41,5
1340000.0,4,1,41,5
1801000.0,4,1,41,5
1532000.0,4,1,43,5
3755000.0,4,1,43,5
2140000.0,4,1,47,5
1810000.0,3,2,47,5
1750000.0,4,1,48,5
980000.0,4,1,50,5
,5,1,50,5
,5,1,50,5
,2,1,50,5
2030000.0,4,1,51,5
1740000.0,3,1,51,5
2800000.0,0,1,61,5
985000.0,4,1,61,5
,2,1,58,2
2000000.0,4,1,58,2
1110000.0,4,1,58,2
1492000.0,4,1,64,2
480000.0,3,2,70,2
,4,1,70,2
1304000.0,5,0,75,2
1717500.0,4,1,75,2
2840000.0,4,1,8,2
,4,1,10,2
525500.0,4,2,10,2
805000.0,4,0,10,2
465000.0,4,2,10,2
,2,0,12,2
1480000.0,4,1,12,2
2000000.0,3,1,16,2
1540000.0,4,1,17,2
,4,1,17,2
590000.0,3,2,23,2
820000.0,4,2,24,2
1830000.0,4,1,28,2
2100000.0,4,1,28,2
865000.0,5,1,33,2
390000.0,0,2,33,2
650000.0,5,0,40,2
512000.0,4,2,41,2
1361000.0,4,1,41,2
,5,1,41,2
1310000.0,4,1,43,2
570000.0,0,1,47,2
1165000.0,4,1,47,2
530000.0,4,2,48,2
1900000.0,5,1,48,2
,2,1,51,2
1485000.0,5,1,51,2
1950000.0,4,1,61,2
520000.0,0,1,58,6
1525000.0,4,1,60,6
720000.0,4,0,63,6
